Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55
HBR_Rep1_ERCC_read1 - Adapter 1	(1, 1.025375470603317)	(2, 1.1152792583696547)	(3, 1.3267123657364928)	(4, 0.9952504317789292)	(5, 1.1398963730569949)	(6, 3.01038062283737)	(7, 1.9444444444444444)	(8, 0.5555555555555556)	(9, 6.0)	(10, 90.0)	(11, 2.0)	(12, 2.0)	(13, 2.0)	(15, 2.0)	(17, 2.0)	(19, 1.0)	(23, 1.0)	(26, 1.0)	(27, 1.0)	(32, 1.0)	(33, 1.0)	(41, 1.0)	(42, 2.0)	(45, 1.0)	(46, 1.0)	(49, 1.0)	(50, 1.0)	(53, 1.0)	(62, 1.0)	(68, 1.0)	(74, 1.0)	(75, 1.0)	(77, 2.0)	(80, 2.0)	(82, 2.0)	(93, 2.0)	(99, 2.0)	(100, 1.0)																		
HBR_Rep1_ERCC_read2 - Adapter 1	(1, 1.0004790370680232)	(2, 1.1012454963768605)	(3, 1.7061585793706482)	(4, 1.2240932642487048)	(5, 1.0708117443868739)	(6, 2.975778546712803)	(7, 3.333333333333333)	(8, 5.555555555555555)	(9, 4.0)	(10, 30.0)	(11, 2.0)	(16, 2.0)	(21, 2.0)	(24, 1.0)	(25, 1.0)	(26, 1.0)	(27, 1.0)	(28, 2.0)	(30, 2.0)	(31, 2.0)	(36, 4.0)	(37, 2.0)	(39, 1.0)	(42, 2.0)	(44, 1.0)	(51, 2.0)	(53, 1.0)	(56, 2.0)	(58, 2.0)	(62, 2.0)	(66, 1.0)	(67, 1.0)	(69, 1.0)	(71, 1.0)	(77, 1.0)	(78, 2.0)	(83, 3.0)	(85, 3.0)	(89, 1.0)	(92, 1.0)	(93, 1.0)	(94, 1.0)	(98, 1.0)	(99, 1.0)	(100, 2.0)											
HBR_Rep2_ERCC_read1 - Adapter 1	(1, 1.0381008934859763)	(2, 1.1006893808829379)	(3, 1.3518052057094878)	(4, 1.1154322078840373)	(5, 1.2305516265912304)	(6, 3.192090395480226)	(7, 1.25)	(8, 0.9090909090909091)	(9, 6.666666666666667)	(10, 20.0)	(11, 1.0)	(13, 1.0)	(14, 2.0)	(15, 1.0)	(17, 2.0)	(18, 1.0)	(20, 1.0)	(22, 1.0)	(24, 1.0)	(26, 1.0)	(27, 1.0)	(33, 1.0)	(34, 1.0)	(37, 1.0)	(39, 1.0)	(42, 1.0)	(52, 2.0)	(53, 1.0)	(65, 1.0)	(75, 1.0)	(76, 2.0)	(78, 1.0)	(79, 1.0)	(80, 1.0)	(86, 1.0)	(89, 1.0)	(90, 1.0)	(92, 2.0)	(93, 2.0)	(96, 1.0)	(98, 3.0)	(99, 2.0)	(100, 1.0)													
HBR_Rep2_ERCC_read2 - Adapter 1	(1, 0.9922251529421513)	(2, 1.0720756551327941)	(3, 1.6580494056299437)	(4, 1.1543220788403747)	(5, 0.8910891089108911)	(6, 2.8531073446327686)	(7, 4.545454545454545)	(8, 4.090909090909091)	(9, 5.0)	(10, 70.0)	(11, 1.0)	(14, 1.0)	(16, 2.0)	(21, 1.0)	(22, 1.0)	(23, 1.0)	(25, 2.0)	(26, 1.0)	(29, 1.0)	(30, 2.0)	(33, 1.0)	(34, 1.0)	(36, 1.0)	(37, 1.0)	(39, 1.0)	(41, 1.0)	(42, 1.0)	(44, 2.0)	(47, 2.0)	(50, 1.0)	(51, 3.0)	(52, 1.0)	(53, 1.0)	(58, 1.0)	(59, 1.0)	(61, 1.0)	(62, 3.0)	(64, 1.0)	(67, 3.0)	(69, 1.0)	(70, 1.0)	(72, 1.0)	(73, 2.0)	(76, 1.0)	(77, 2.0)	(79, 2.0)	(81, 2.0)	(83, 2.0)	(85, 1.0)	(86, 1.0)	(95, 2.0)	(97, 1.0)	(98, 2.0)	(99, 1.0)	(100, 1.0)	
HBR_Rep3_ERCC_read1 - Adapter 1	(1, 1.0221441449771163)	(2, 1.1298634054933674)	(3, 1.344247743971596)	(4, 1.0512820512820513)	(5, 1.1760063141278612)	(6, 2.996845425867508)	(7, 1.7721518987341771)	(8, 1.0)	(9, 8.0)	(10, 30.0)	(11, 4.0)	(20, 1.0)	(22, 1.0)	(23, 3.0)	(24, 2.0)	(25, 1.0)	(31, 1.0)	(32, 1.0)	(36, 1.0)	(38, 1.0)	(41, 2.0)	(44, 1.0)	(48, 1.0)	(50, 1.0)	(51, 1.0)	(58, 1.0)	(62, 1.0)	(64, 2.0)	(66, 1.0)	(67, 1.0)	(68, 1.0)	(70, 1.0)	(72, 2.0)	(77, 1.0)	(79, 1.0)	(82, 1.0)	(85, 1.0)	(87, 1.0)	(92, 1.0)	(95, 1.0)	(97, 1.0)	(99, 3.0)														
HBR_Rep3_ERCC_read2 - Adapter 1	(1, 0.9934815773658175)	(2, 1.1142068149317026)	(3, 1.642092805365156)	(4, 1.252465483234714)	(5, 1.0497237569060773)	(6, 2.586750788643533)	(7, 3.0379746835443036)	(8, 5.5)	(9, 10.0)	(10, 150.0)	(11, 1.0)	(17, 1.0)	(20, 1.0)	(28, 1.0)	(30, 1.0)	(34, 2.0)	(36, 2.0)	(38, 1.0)	(40, 1.0)	(42, 1.0)	(44, 3.0)	(51, 1.0)	(53, 1.0)	(54, 2.0)	(57, 1.0)	(58, 1.0)	(59, 1.0)	(60, 1.0)	(61, 2.0)	(62, 5.0)	(65, 2.0)	(68, 2.0)	(69, 1.0)	(72, 1.0)	(73, 1.0)	(74, 1.0)	(76, 2.0)	(77, 3.0)	(78, 1.0)	(84, 1.0)	(86, 1.0)	(88, 1.0)	(92, 1.0)	(95, 1.0)												
UHR_Rep1_ERCC_read1 - Adapter 1	(1, 0.9916971573318323)	(2, 1.2217844075429214)	(3, 1.258936110329299)	(4, 1.0988516099977481)	(5, 1.1886537595677622)	(6, 0.6126126126126126)	(7, 1.6546762589928057)	(8, 0.2857142857142857)	(10, 35.0)	(11, 20.0)	(15, 1.0)	(26, 1.0)	(28, 3.0)	(29, 1.0)	(30, 1.0)	(39, 2.0)	(40, 1.0)	(43, 1.0)	(46, 2.0)	(48, 1.0)	(49, 1.0)	(51, 1.0)	(53, 1.0)	(59, 1.0)	(75, 1.0)	(85, 1.0)	(86, 2.0)	(91, 1.0)	(92, 1.0)	(99, 2.0)																										
UHR_Rep1_ERCC_read2 - Adapter 1	(1, 1.0896777371235575)	(2, 0.9962003940332114)	(3, 0.9904306220095693)	(4, 1.2058095023643323)	(5, 0.589824403421882)	(6, 0.7567567567567568)	(7, 0.2158273381294964)	(20, 1.0)	(50, 2.0)	(76, 1.0)	(84, 1.0)																																													
UHR_Rep2_ERCC_read1 - Adapter 1	(1, 0.9966201235674942)	(2, 1.1292531754086892)	(3, 1.3503606479839187)	(4, 1.0547059750906511)	(5, 1.5258511979823455)	(6, 3.2575757575757573)	(7, 1.8181818181818181)	(8, 3.6)	(9, 8.333333333333334)	(10, 50.0)	(11, 2.0)	(12, 1.0)	(15, 1.0)	(18, 3.0)	(20, 1.0)	(21, 1.0)	(23, 2.0)	(24, 1.0)	(28, 1.0)	(31, 1.0)	(33, 2.0)	(34, 1.0)	(36, 1.0)	(38, 1.0)	(41, 2.0)	(42, 2.0)	(44, 1.0)	(46, 1.0)	(48, 1.0)	(54, 1.0)	(55, 1.0)	(57, 2.0)	(59, 1.0)	(60, 1.0)	(66, 1.0)	(67, 1.0)	(69, 2.0)	(74, 1.0)	(75, 1.0)	(78, 1.0)	(79, 2.0)	(81, 3.0)	(85, 1.0)	(87, 2.0)	(92, 2.0)	(95, 1.0)	(97, 1.0)	(100, 2.0)								
UHR_Rep2_ERCC_read2 - Adapter 1	(1, 0.9614664525092873)	(2, 1.0635278815171014)	(3, 1.5628079303141382)	(4, 1.1146145357086552)	(5, 0.9962168978562421)	(6, 1.9444444444444444)	(7, 2.727272727272727)	(8, 3.2)	(9, 3.3333333333333335)	(10, 15.0)	(11, 3.0)	(13, 1.0)	(14, 1.0)	(15, 1.0)	(16, 1.0)	(17, 2.0)	(19, 2.0)	(21, 3.0)	(23, 1.0)	(26, 1.0)	(28, 1.0)	(29, 1.0)	(33, 1.0)	(34, 1.0)	(36, 1.0)	(39, 2.0)	(41, 1.0)	(44, 2.0)	(45, 1.0)	(47, 1.0)	(48, 1.0)	(51, 3.0)	(52, 3.0)	(55, 1.0)	(57, 1.0)	(59, 3.0)	(61, 1.0)	(62, 3.0)	(64, 2.0)	(70, 1.0)	(71, 1.0)	(72, 1.0)	(73, 4.0)	(77, 2.0)	(78, 2.0)	(80, 1.0)	(81, 1.0)	(83, 5.0)	(84, 1.0)	(90, 1.0)	(91, 2.0)	(92, 1.0)	(95, 1.0)	(98, 1.0)	(99, 2.0)	(100, 2.0)
