.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
HBR_Rep1_ERCC_read1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
HBR_Rep1_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
HBR_Rep1_ERCC_read2	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
HBR_Rep1_ERCC_read2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
HBR_Rep2_ERCC_read1	1	1	0.5	1	0.25	0.5	1	1	0.5	0.5	1
HBR_Rep2_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
HBR_Rep2_ERCC_read2	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
HBR_Rep2_ERCC_read2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
HBR_Rep3_ERCC_read1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
HBR_Rep3_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
HBR_Rep3_ERCC_read2	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
HBR_Rep3_ERCC_read2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
UHR_Rep1_ERCC_read1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
UHR_Rep1_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
UHR_Rep1_ERCC_read2	1	1	1	1	0.5	0.5	1	1	0.5	0.5	1
UHR_Rep1_ERCC_read2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
UHR_Rep2_ERCC_read1	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
UHR_Rep2_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.5	0.5	1
UHR_Rep2_ERCC_read2	1	1	1	1	0.25	0.5	1	1	0.5	0.5	1
UHR_Rep2_ERCC_read2_val_2	1	1	1	1	0.25	1	1	0.5	0.5	0.5	1
UHR_Rep3_ERCC_read1	1	1	1	1	0.25	0.5	1	1	0.25	0.5	1
UHR_Rep3_ERCC_read1_val_1	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
UHR_Rep3_ERCC_read2	1	1	1	1	0.5	0.5	1	1	0.25	0.5	1
UHR_Rep3_ERCC_read2_val_2	1	1	1	1	0.25	0.5	1	0.5	0.25	0.5	1
