Sample	Top overrepresented sequence	Sum of remaining overrepresented sequences
HBR_Rep1_ERCC_read1	0.37445918479223417	6.932555177910282
HBR_Rep1_ERCC_read1_val_1	0.3748480345805755	6.933844387410509
HBR_Rep1_ERCC_read2	0.44867632051682116	4.178087390677316
HBR_Rep1_ERCC_read2_val_2	0.4491422396325813	4.166385249223287
HBR_Rep2_ERCC_read1	0.390123320398271	7.585654509549391
HBR_Rep2_ERCC_read1_val_1	0.39057099405502554	7.4844462878473665
HBR_Rep2_ERCC_read2	0.49991023711212074	4.877577230607764
HBR_Rep2_ERCC_read2_val_2	0.5004838932669708	4.8679662657265315
HBR_Rep3_ERCC_read1	0.34287211255451283	7.141756429815234
HBR_Rep3_ERCC_read1_val_1	0.34251330710483685	7.1356938980174345
HBR_Rep3_ERCC_read2	0.4237745211347911	4.515895397038201
HBR_Rep3_ERCC_read2_val_2	0.42428450204427987	4.515158528118491
UHR_Rep1_ERCC_read1	0.27221714044469464	2.9407367013791164
UHR_Rep1_ERCC_read1_val_1	0.2718420936687668	2.93915495439926
UHR_Rep1_ERCC_read2	0.35665282859555303	1.8716577540106951
UHR_Rep1_ERCC_read2_val_2	0.3568753579768251	1.8694100541921839
UHR_Rep2_ERCC_read1	0.5222543156805626	6.651967999605845
UHR_Rep2_ERCC_read1_val_1	0.5209683591965729	6.649136451736355
UHR_Rep2_ERCC_read2	0.42002056992233927	3.5898825543655657
UHR_Rep2_ERCC_read2_val_2	0.42097206276310756	3.5813488389318913
UHR_Rep3_ERCC_read1	0.5317026347860787	6.125365343341853
UHR_Rep3_ERCC_read1_val_1	0.532012573860629	6.121115227982241
UHR_Rep3_ERCC_read2	0.38071202855879466	3.5763203589262407
UHR_Rep3_ERCC_read2_val_2	0.38024045888109925	3.46321281583183
