Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
HBR_Rep1_ERCC_read1	(1, 32.92720817063194)	(2, 33.12306550505604)	(3, 33.18328259017804)	(4, 36.50111747391858)	(5, 36.431285896214085)	(6, 36.40617014278365)	(7, 36.409720758026836)	(8, 36.410344856668154)	(9, 38.23154902969529)	(10, 38.21925259970819)	(12, 38.20450616086564)	(14, 39.75543767025664)	(16, 39.72903576759916)	(18, 39.704514594631064)	(20, 39.67214580293664)	(22, 39.613914869571815)	(24, 39.558306837253625)	(26, 39.47335773502796)	(28, 39.37746582216562)	(30, 39.274379907397254)	(32, 39.16791626957688)	(34, 39.03729832758432)	(36, 38.86920073205084)	(38, 38.721892368285665)	(40, 38.68162113838966)	(42, 38.68108981116799)	(44, 38.67212471852308)	(46, 38.5175928346729)	(48, 38.40141771596765)	(50, 38.18388138752309)	(52, 37.96565349031383)	(54, 37.73442494370461)	(56, 37.485342115694394)	(58, 37.18672778335343)	(60, 36.87637364954331)	(62, 36.53543446542578)	(64, 36.21925259970819)	(66, 35.89499962048056)	(68, 35.62670045795346)	(70, 35.36723566470722)	(72, 35.052609828710224)	(74, 34.78500645183055)	(76, 33.269357600087716)	(78, 34.192821178871725)	(80, 34.16799217346569)	(82, 33.98481500535544)	(84, 33.77648413187036)	(86, 33.61990705990504)	(88, 33.4380033903737)	(90, 33.25725092982263)	(92, 33.160199374214606)	(94, 32.981386679710894)	(96, 32.77389918276813)	(98, 32.56774843764495)	(100, 32.41754729233961)
HBR_Rep1_ERCC_read1_val_1	(1, 32.93000303930839)	(2, 33.12639301634473)	(3, 33.1862589490747)	(4, 36.50439855464001)	(5, 36.43456200189112)	(6, 36.4102644198298)	(7, 36.41386937727948)	(8, 36.414080440362014)	(9, 38.23619647440227)	(10, 38.22352002566527)	(12, 38.20953498581656)	(14, 39.76089085505876)	(16, 39.73400986086722)	(18, 39.71052698230447)	(20, 39.67836801530725)	(22, 39.620958073721354)	(24, 39.56607740448328)	(26, 39.481834185570975)	(28, 39.386338497910245)	(30, 39.2841569593207)	(32, 39.179378133681084)	(34, 39.04956688277001)	(36, 38.88289728774379)	(38, 38.738427410528885)	(40, 38.70102693258918)	(42, 38.705399989469754)	(44, 38.69901435303508)	(46, 38.54622485029675)	(48, 38.43324782703621)	(50, 38.22009975300479)	(52, 38.00985240270475)	(54, 37.78426912574322)	(56, 37.54163909066511)	(58, 37.24968086958678)	(60, 36.9471057938014)	(62, 36.61569992647738)	(64, 36.312715980843855)	(66, 35.99906537295091)	(68, 35.74908262038686)	(70, 35.504844137782)	(72, 35.206680476505795)	(74, 34.96032918668435)	(76, 33.458654736294704)	(78, 34.40200176261694)	(80, 34.397986278127206)	(82, 34.24205631610879)	(84, 34.06883003297298)	(86, 33.956386263690874)	(88, 33.83129690719605)	(90, 33.71451867377809)	(92, 33.70467496284097)	(94, 33.658570226639405)	(96, 33.63372848945754)	(98, 33.67084216977736)	(100, 33.74999656002752)
HBR_Rep1_ERCC_read2	(1, 32.72570021337427)	(2, 32.83652832480117)	(3, 32.85667659039731)	(4, 36.2368116993194)	(5, 36.21184775366658)	(6, 36.224498401801455)	(7, 36.25683345843419)	(8, 36.246156311408356)	(9, 38.03427482268008)	(10, 37.9970270976883)	(12, 37.97678606067251)	(14, 39.48948309451721)	(16, 39.42563105649779)	(18, 39.38791104064232)	(20, 39.349284395003835)	(22, 39.26799554697186)	(24, 39.20667785546213)	(26, 39.138263150348735)	(28, 39.034177834377715)	(30, 38.92199188671766)	(32, 38.814267400966514)	(34, 38.72712551973079)	(36, 38.57104603992545)	(38, 38.441178703055556)	(40, 38.253527422388274)	(42, 38.04494353594049)	(44, 37.88758212379081)	(46, 38.02983866206745)	(48, 38.06825868045306)	(50, 36.657007194001906)	(52, 36.76504372907372)	(54, 37.321731283366084)	(56, 37.16101323257794)	(58, 36.90724966475783)	(60, 36.59786119708866)	(62, 36.26272866046504)	(64, 35.91600391326716)	(66, 35.602229887577906)	(68, 35.289425744912336)	(70, 35.03656880687521)	(72, 34.779499203009166)	(74, 34.535712779684744)	(76, 34.26026600096145)	(78, 33.999173490988525)	(80, 33.72380261615403)	(82, 33.51012473539061)	(84, 33.275720876099555)	(86, 33.098274451594406)	(88, 32.9056472493274)	(90, 32.735306272191345)	(92, 32.54520076578591)	(94, 32.34174882559816)	(96, 32.09394792993228)	(98, 31.852953082962948)	(100, 31.655683092830458)
HBR_Rep1_ERCC_read2_val_2	(1, 32.738813656625695)	(2, 32.84956267729299)	(3, 32.87017931919492)	(4, 36.251536539240846)	(5, 36.228446238011614)	(6, 36.23976766175875)	(7, 36.2728707956234)	(8, 36.26242739429961)	(9, 38.05214102390923)	(10, 38.01713410104012)	(12, 37.998788497906254)	(14, 39.51403147372687)	(16, 39.45132463190598)	(18, 39.416165743617455)	(20, 39.37928396076708)	(22, 39.30090868483845)	(24, 39.24152224193982)	(26, 39.175988775602356)	(28, 39.075290355267754)	(30, 38.969249194049425)	(32, 38.86822455423756)	(34, 38.78806149895132)	(36, 38.6416209784408)	(38, 38.522402409561835)	(40, 38.34383725554909)	(42, 38.14561375413929)	(44, 37.998688638680655)	(46, 38.15262470138447)	(48, 38.201767063899496)	(50, 36.80025206462679)	(52, 36.920354289259066)	(54, 37.48733264842557)	(56, 37.33769076306215)	(58, 37.098224147261476)	(60, 36.80663415305283)	(62, 36.49143135265021)	(64, 36.15960028619969)	(66, 35.86705807323828)	(68, 35.581109894243184)	(70, 35.35616243498424)	(72, 35.124862881540096)	(74, 34.90819271078893)	(76, 34.66868532737283)	(78, 34.44366642185531)	(80, 34.20841028874865)	(82, 34.042414707217176)	(84, 33.857488664168514)	(86, 33.747995681441694)	(88, 33.63491863940689)	(90, 33.548450700536655)	(92, 33.47451503485472)	(94, 33.43543121850851)	(96, 33.41602403238268)	(98, 33.47664515434079)	(100, 33.58927768409219)
HBR_Rep2_ERCC_read1	(1, 32.911300457100246)	(2, 33.098235123527544)	(3, 33.165757529725326)	(4, 36.48147432090923)	(5, 36.417735765677435)	(6, 36.389025451231134)	(7, 36.39601314681065)	(8, 36.39433527129107)	(9, 38.222598152265476)	(10, 38.20322663057738)	(12, 38.17825873807189)	(14, 39.729944899396514)	(16, 39.69099125847569)	(18, 39.665557289436975)	(20, 39.63760305470012)	(22, 39.58834739618577)	(24, 39.52801983069338)	(26, 39.43445582975433)	(28, 39.34964025796473)	(30, 39.24203181749134)	(32, 39.13040821399473)	(34, 38.99267051496278)	(36, 38.81115269357712)	(38, 38.66429025175037)	(40, 38.63369491665861)	(42, 38.62712151133084)	(44, 38.61863201358872)	(46, 38.45277436371922)	(48, 38.33546117409857)	(50, 38.102391835720105)	(52, 37.87690746136744)	(54, 37.66819493737312)	(56, 37.40920483891014)	(58, 37.08724952701863)	(60, 36.78338834187231)	(62, 36.44830348141908)	(64, 36.12836092966732)	(66, 35.788535898250316)	(68, 35.52911769986052)	(70, 35.25969784430973)	(72, 34.95255340891829)	(74, 34.69311104359714)	(76, 33.182090922900585)	(78, 34.10603758993551)	(80, 34.0786150276884)	(82, 33.89337549887451)	(84, 33.70091005758634)	(86, 33.538998522364764)	(88, 33.36975059726845)	(90, 33.181745681024125)	(92, 33.08884454448787)	(94, 32.919413641197025)	(96, 32.720150387361386)	(98, 32.49108585474984)	(100, 32.34708546807894)
HBR_Rep2_ERCC_read1_val_1	(1, 32.91482095949122)	(2, 33.10203926448224)	(3, 33.16990183879442)	(4, 36.48464675791511)	(5, 36.4215816397069)	(6, 36.39407576386009)	(7, 36.40007604037052)	(8, 36.39879026683257)	(9, 38.22822480298631)	(10, 38.20987833540716)	(12, 38.183533803401076)	(14, 39.736654914973045)	(16, 39.69780519839624)	(18, 39.67218996267109)	(20, 39.645400504911294)	(22, 39.59647059381138)	(24, 39.53669423779084)	(26, 39.4455170731142)	(28, 39.361415896996114)	(30, 39.256552101266834)	(32, 39.14582817895885)	(34, 39.01028526939146)	(36, 38.83094690964744)	(38, 38.688798281476835)	(40, 38.65907096944194)	(42, 38.65537896560724)	(44, 38.64907211690372)	(46, 38.487211556766226)	(48, 38.37585332182071)	(50, 38.1477264643568)	(52, 37.928675165133555)	(54, 37.72982489829016)	(56, 37.47649409787603)	(58, 37.16435480502317)	(60, 36.869500976273635)	(62, 36.544413428176306)	(64, 36.23464864205714)	(66, 35.90909351395564)	(68, 35.663948853707694)	(70, 35.41307080075656)	(72, 35.122396297568464)	(74, 34.8834258734573)	(76, 33.38697153508748)	(78, 34.335706580608445)	(80, 34.332058773412506)	(82, 34.17681189339835)	(84, 34.01792724820104)	(86, 33.897227996969804)	(88, 33.77939335296922)	(90, 33.65806010578249)	(92, 33.6576903596429)	(94, 33.628393378160595)	(96, 33.62296625462791)	(98, 33.652068321468185)	(100, 33.71932527499915)
HBR_Rep2_ERCC_read2	(1, 32.68757681631751)	(2, 32.79657658155303)	(3, 32.82313949152776)	(4, 36.20867799980667)	(5, 36.183958681452225)	(6, 36.18983469818955)	(7, 36.23149158300305)	(8, 36.229454655931946)	(9, 38.01778686147515)	(10, 37.96429508513665)	(12, 37.94579357297722)	(14, 39.44826550481267)	(16, 39.379465703672)	(18, 39.352157071244115)	(20, 39.313248311767225)	(22, 39.22015383978015)	(24, 39.14629624514935)	(26, 39.08302031403201)	(28, 38.994921491997296)	(30, 38.875875188156826)	(32, 38.76654744313866)	(34, 38.65968127269966)	(36, 38.504995649952356)	(38, 38.36936047394805)	(40, 38.16927209202767)	(42, 37.96922859155124)	(44, 37.810852333144595)	(46, 37.97168671371162)	(48, 37.995632690262795)	(50, 36.57188626351622)	(52, 36.666275392540015)	(54, 37.229596205101295)	(56, 37.07043279521633)	(58, 36.8085806415975)	(60, 36.478184165826576)	(62, 36.16521204756052)	(64, 35.809471365638764)	(66, 35.46568986231754)	(68, 35.17361868725229)	(70, 34.920183530581525)	(72, 34.6591496002099)	(74, 34.410689378978915)	(76, 34.13041511883225)	(78, 33.87522613342908)	(80, 33.60316862994213)	(82, 33.39647231850634)	(84, 33.176598124646134)	(86, 32.9969100852057)	(88, 32.820888514493255)	(90, 32.63516219463356)	(92, 32.44941516026128)	(94, 32.26024677889329)	(96, 32.028185546794084)	(98, 31.774778009473437)	(100, 31.561660199135513)
HBR_Rep2_ERCC_read2_val_2	(1, 32.70243329185677)	(2, 32.81188303608461)	(3, 32.838614682704275)	(4, 36.22514171159961)	(5, 36.20080879303194)	(6, 36.20808793031937)	(7, 36.2488179178764)	(8, 36.247711876123326)	(9, 38.03881515277202)	(10, 37.987194110327664)	(12, 37.96999516106733)	(14, 39.47578459836859)	(16, 39.40832642057238)	(18, 39.3826040370524)	(20, 39.34657221032782)	(22, 39.25583820167358)	(24, 39.18663918640029)	(26, 39.127809457172624)	(28, 39.04537568917428)	(30, 38.93201346275795)	(32, 38.82784488088099)	(34, 38.72900666994986)	(36, 38.58351019016211)	(38, 38.457407509048494)	(40, 38.26623015844643)	(42, 38.07694164266554)	(44, 37.928888966138146)	(46, 38.10183477603202)	(48, 38.13886306640697)	(50, 36.72650600092537)	(52, 36.83396019989904)	(54, 37.41291193429789)	(56, 37.26728271783911)	(58, 37.02251796355888)	(60, 36.70922784773681)	(62, 36.41176473762074)	(64, 36.0770192243872)	(66, 35.75972571255493)	(68, 35.49108125327587)	(70, 35.26146606663845)	(72, 35.023091581097674)	(74, 34.80497660921834)	(76, 34.55918002023015)	(78, 34.34239656090099)	(80, 34.10892779610528)	(82, 33.951004551416105)	(84, 33.78653990527867)	(86, 33.669468606701315)	(88, 33.57436413539404)	(90, 33.48234099236552)	(92, 33.419800826088434)	(94, 33.392574678236315)	(96, 33.3867619797811)	(98, 33.4514818038881)	(100, 33.553384731532105)
HBR_Rep3_ERCC_read1	(1, 32.91442066170465)	(2, 33.11350222674248)	(3, 33.176267085818196)	(4, 36.48532199158615)	(5, 36.416516419336446)	(6, 36.39249225648375)	(7, 36.40783289414883)	(8, 36.392345861649176)	(9, 38.22248932858706)	(10, 38.20457137133435)	(12, 38.18322084046045)	(14, 39.7432658376096)	(16, 39.71097807159478)	(18, 39.68458847641502)	(20, 39.650008475490424)	(22, 39.6091296441835)	(24, 39.54446550475398)	(26, 39.45752623549535)	(28, 39.36541691707889)	(30, 39.26025534341146)	(32, 39.160656773457845)	(34, 39.00256576210069)	(36, 38.84016766061055)	(38, 38.699986901514805)	(40, 38.65564852911716)	(42, 38.655687054073624)	(44, 38.65299801211225)	(46, 38.50068189172946)	(48, 38.36685775045074)	(50, 38.14734254850292)	(52, 37.919660055784135)	(54, 37.72099841277179)	(56, 37.45302266808439)	(58, 37.14842509977964)	(60, 36.839104371812056)	(62, 36.508668115205026)	(64, 36.176706270321915)	(66, 35.86258918527422)	(68, 35.60851709737568)	(70, 35.32829812152312)	(72, 35.00567472608756)	(74, 34.74509192054613)	(76, 33.23902809239826)	(78, 34.15723575732359)	(80, 34.13093862203936)	(82, 33.94824942597815)	(84, 33.74432527391244)	(86, 33.57011156827393)	(88, 33.399264943830616)	(90, 33.20310357049297)	(92, 33.11025072041669)	(94, 32.943491593854496)	(96, 32.750192624782336)	(98, 32.52183594532538)	(100, 32.36348296426425)
HBR_Rep3_ERCC_read1_val_1	(1, 32.91895394584587)	(2, 33.11758080691198)	(3, 33.18073748360719)	(4, 36.489662886677465)	(5, 36.421044511301396)	(6, 36.39799429144488)	(7, 36.41342281879194)	(8, 36.39709943685875)	(9, 38.22844249016431)	(10, 38.21164853814703)	(12, 38.18982488621461)	(14, 39.75105685412328)	(16, 39.71873408933118)	(18, 39.69168402375993)	(20, 39.65723212219393)	(22, 39.61742229717357)	(24, 39.55425843622099)	(26, 39.46943863041779)	(28, 39.37846209318373)	(30, 39.274121356873536)	(32, 39.17705536395685)	(34, 39.020263770255724)	(36, 38.86175113856615)	(38, 38.72295429240749)	(40, 38.68109738002981)	(42, 38.68341897752534)	(44, 38.68316623916232)	(46, 38.535892022322834)	(48, 38.406667676017705)	(50, 38.193438463576825)	(52, 37.97330085357483)	(54, 37.78099997986067)	(56, 37.51907930072395)	(58, 37.22173613404358)	(60, 36.92375040497801)	(62, 36.60316313345912)	(64, 36.285822662474764)	(66, 35.98535506344217)	(68, 35.74600879602245)	(70, 35.48179040816173)	(72, 35.17942052636946)	(74, 34.942978379081076)	(76, 33.4497814710456)	(78, 34.390993473931246)	(80, 34.38860572602666)	(82, 34.2325404846805)	(84, 34.06475761066177)	(86, 33.937392237659566)	(88, 33.82375365113485)	(90, 33.69263517944064)	(92, 33.69091288886597)	(94, 33.656591133491915)	(96, 33.650678098461626)	(98, 33.66517755664317)	(100, 33.72998311449381)
