Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
HBR_Rep1_ERCC_read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 2.5)	(18.0, 2.0)	(19.0, 8.0)	(20.0, 11.5)	(21.0, 16.5)	(22.0, 23.0)	(23.0, 27.5)	(24.0, 44.5)	(25.0, 55.5)	(26.0, 79.0)	(27.0, 127.0)	(28.0, 164.5)	(29.0, 344.0)	(30.0, 612.5)	(31.0, 800.5)	(32.0, 901.5)	(33.0, 1073.0)	(34.0, 1335.5)	(35.0, 1652.0)	(36.0, 2214.0)	(37.0, 2790.0)	(38.0, 3281.5)	(39.0, 3170.0)	(40.0, 2564.5)	(41.0, 2377.0)	(42.0, 2248.0)	(43.0, 2272.0)	(44.0, 2794.0)	(45.0, 3218.5)	(46.0, 3678.5)	(47.0, 4033.5)	(48.0, 4144.0)	(49.0, 4238.0)	(50.0, 4228.5)	(51.0, 4704.5)	(52.0, 5843.0)	(53.0, 6108.0)	(54.0, 5386.0)	(55.0, 5008.0)	(56.0, 4478.5)	(57.0, 4039.0)	(58.0, 3866.0)	(59.0, 3492.0)	(60.0, 3016.5)	(61.0, 2665.0)	(62.0, 2510.5)	(63.0, 2380.0)	(64.0, 2095.0)	(65.0, 1728.0)	(66.0, 1489.5)	(67.0, 1243.5)	(68.0, 987.5)	(69.0, 759.5)	(70.0, 612.0)	(71.0, 471.5)	(72.0, 342.5)	(73.0, 245.5)	(74.0, 173.5)	(75.0, 130.5)	(76.0, 79.0)	(77.0, 53.5)	(78.0, 46.5)	(79.0, 31.5)	(80.0, 20.5)	(81.0, 14.5)	(82.0, 7.0)	(83.0, 2.5)	(84.0, 1.5)	(85.0, 1.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep1_ERCC_read1_val_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.5)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 1.0)	(11.0, 0.5)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 4.0)	(18.0, 4.5)	(19.0, 8.5)	(20.0, 11.5)	(21.0, 19.5)	(22.0, 27.0)	(23.0, 34.0)	(24.0, 47.0)	(25.0, 68.0)	(26.0, 98.5)	(27.0, 142.0)	(28.0, 199.5)	(29.0, 385.0)	(30.0, 670.5)	(31.0, 881.0)	(32.0, 931.0)	(33.0, 1122.0)	(34.0, 1410.5)	(35.0, 1718.5)	(36.0, 2468.0)	(37.0, 3172.5)	(38.0, 3426.5)	(39.0, 3049.5)	(40.0, 2286.0)	(41.0, 2233.0)	(42.0, 2420.5)	(43.0, 2486.0)	(44.0, 2969.5)	(45.0, 3386.0)	(46.0, 3872.5)	(47.0, 4190.0)	(48.0, 4162.0)	(49.0, 4255.0)	(50.0, 4448.0)	(51.0, 5022.0)	(52.0, 5914.0)	(53.0, 5965.5)	(54.0, 5196.0)	(55.0, 4828.0)	(56.0, 4405.0)	(57.0, 3996.0)	(58.0, 3843.5)	(59.0, 3386.5)	(60.0, 2918.0)	(61.0, 2651.0)	(62.0, 2562.0)	(63.0, 2337.5)	(64.0, 1933.0)	(65.0, 1656.5)	(66.0, 1437.5)	(67.0, 1175.0)	(68.0, 929.0)	(69.0, 736.0)	(70.0, 573.0)	(71.0, 436.5)	(72.0, 310.5)	(73.0, 225.0)	(74.0, 164.0)	(75.0, 120.5)	(76.0, 74.5)	(77.0, 52.5)	(78.0, 47.0)	(79.0, 30.5)	(80.0, 19.0)	(81.0, 12.0)	(82.0, 7.0)	(83.0, 2.5)	(84.0, 1.5)	(85.0, 1.5)	(86.0, 1.0)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep1_ERCC_read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 4.0)	(16.0, 4.5)	(17.0, 2.5)	(18.0, 5.0)	(19.0, 6.5)	(20.0, 5.5)	(21.0, 10.5)	(22.0, 21.5)	(23.0, 35.5)	(24.0, 40.0)	(25.0, 47.0)	(26.0, 85.0)	(27.0, 110.0)	(28.0, 175.0)	(29.0, 257.5)	(30.0, 422.5)	(31.0, 901.0)	(32.0, 1175.5)	(33.0, 1110.0)	(34.0, 1357.5)	(35.0, 1833.5)	(36.0, 2122.5)	(37.0, 2444.5)	(38.0, 2875.5)	(39.0, 2838.5)	(40.0, 2928.0)	(41.0, 2665.5)	(42.0, 2107.5)	(43.0, 2192.0)	(44.0, 2597.5)	(45.0, 2986.5)	(46.0, 3409.0)	(47.0, 3891.0)	(48.0, 4087.5)	(49.0, 4205.5)	(50.0, 4254.0)	(51.0, 4420.5)	(52.0, 5036.0)	(53.0, 5601.0)	(54.0, 5644.0)	(55.0, 5213.5)	(56.0, 4828.5)	(57.0, 4496.5)	(58.0, 4345.0)	(59.0, 3960.5)	(60.0, 3205.0)	(61.0, 2748.0)	(62.0, 2476.0)	(63.0, 2392.5)	(64.0, 2075.0)	(65.0, 1697.5)	(66.0, 1444.0)	(67.0, 1241.5)	(68.0, 1038.0)	(69.0, 801.0)	(70.0, 646.0)	(71.0, 517.5)	(72.0, 405.0)	(73.0, 323.5)	(74.0, 233.0)	(75.0, 165.0)	(76.0, 124.5)	(77.0, 95.5)	(78.0, 70.0)	(79.0, 47.5)	(80.0, 30.5)	(81.0, 16.0)	(82.0, 8.5)	(83.0, 6.5)	(84.0, 2.5)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep1_ERCC_read2_val_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 4.0)	(16.0, 5.0)	(17.0, 3.5)	(18.0, 7.0)	(19.0, 10.0)	(20.0, 12.0)	(21.0, 14.5)	(22.0, 23.0)	(23.0, 40.0)	(24.0, 46.0)	(25.0, 56.0)	(26.0, 95.5)	(27.0, 128.5)	(28.0, 193.5)	(29.0, 303.5)	(30.0, 706.5)	(31.0, 966.5)	(32.0, 1052.0)	(33.0, 1210.0)	(34.0, 1481.5)	(35.0, 1933.5)	(36.0, 2300.5)	(37.0, 2599.0)	(38.0, 2778.0)	(39.0, 2995.5)	(40.0, 2901.0)	(41.0, 2423.0)	(42.0, 2237.0)	(43.0, 2357.5)	(44.0, 2712.0)	(45.0, 3188.0)	(46.0, 3662.5)	(47.0, 3993.0)	(48.0, 4192.0)	(49.0, 4418.0)	(50.0, 4366.0)	(51.0, 4554.5)	(52.0, 5258.0)	(53.0, 5728.5)	(54.0, 5546.0)	(55.0, 5183.0)	(56.0, 4903.5)	(57.0, 4515.0)	(58.0, 4297.0)	(59.0, 3794.5)	(60.0, 3095.0)	(61.0, 2789.5)	(62.0, 2549.5)	(63.0, 2308.0)	(64.0, 1980.5)	(65.0, 1653.5)	(66.0, 1415.5)	(67.0, 1186.0)	(68.0, 982.5)	(69.0, 791.0)	(70.0, 627.0)	(71.0, 495.5)	(72.0, 403.0)	(73.0, 330.0)	(74.0, 231.5)	(75.0, 156.5)	(76.0, 129.0)	(77.0, 111.0)	(78.0, 77.0)	(79.0, 48.0)	(80.0, 39.0)	(81.0, 30.0)	(82.0, 18.5)	(83.0, 8.0)	(84.0, 4.5)	(85.0, 3.0)	(86.0, 3.0)	(87.0, 2.5)	(88.0, 1.5)	(89.0, 1.5)	(90.0, 1.0)	(91.0, 0.5)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.5)	(97.0, 2.0)	(98.0, 1.5)	(99.0, 0.5)	(100.0, 0.0)
HBR_Rep2_ERCC_read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.0)	(16.0, 2.5)	(17.0, 1.5)	(18.0, 1.5)	(19.0, 6.5)	(20.0, 11.0)	(21.0, 16.0)	(22.0, 22.5)	(23.0, 26.5)	(24.0, 48.0)	(25.0, 73.0)	(26.0, 85.0)	(27.0, 114.0)	(28.0, 167.5)	(29.0, 408.0)	(30.0, 714.0)	(31.0, 919.5)	(32.0, 1032.0)	(33.0, 1157.5)	(34.0, 1432.5)	(35.0, 1834.5)	(36.0, 2460.0)	(37.0, 3193.0)	(38.0, 3817.0)	(39.0, 3627.0)	(40.0, 2989.5)	(41.0, 2822.5)	(42.0, 2711.0)	(43.0, 2831.0)	(44.0, 3439.0)	(45.0, 3873.0)	(46.0, 4353.0)	(47.0, 4943.0)	(48.0, 5266.5)	(49.0, 5310.5)	(50.0, 5266.5)	(51.0, 5869.0)	(52.0, 7188.0)	(53.0, 7621.5)	(54.0, 6789.5)	(55.0, 6225.5)	(56.0, 5536.5)	(57.0, 4958.5)	(58.0, 4720.5)	(59.0, 4321.0)	(60.0, 3824.0)	(61.0, 3348.0)	(62.0, 3122.5)	(63.0, 2951.0)	(64.0, 2596.0)	(65.0, 2171.0)	(66.0, 1851.5)	(67.0, 1549.0)	(68.0, 1266.0)	(69.0, 965.5)	(70.0, 762.0)	(71.0, 594.0)	(72.0, 442.0)	(73.0, 331.0)	(74.0, 254.5)	(75.0, 181.5)	(76.0, 128.5)	(77.0, 90.0)	(78.0, 65.0)	(79.0, 55.5)	(80.0, 32.5)	(81.0, 15.0)	(82.0, 12.5)	(83.0, 5.5)	(84.0, 1.5)	(85.0, 1.5)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep2_ERCC_read1_val_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 1.0)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 1.5)	(7.0, 0.5)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 2.5)	(16.0, 3.5)	(17.0, 2.5)	(18.0, 3.0)	(19.0, 7.5)	(20.0, 14.0)	(21.0, 21.5)	(22.0, 26.5)	(23.0, 36.0)	(24.0, 61.0)	(25.0, 85.5)	(26.0, 95.0)	(27.0, 133.0)	(28.0, 207.0)	(29.0, 452.5)	(30.0, 775.5)	(31.0, 1024.5)	(32.0, 1068.0)	(33.0, 1201.0)	(34.0, 1523.0)	(35.0, 1896.0)	(36.0, 2734.5)	(37.0, 3608.0)	(38.0, 3958.0)	(39.0, 3615.5)	(40.0, 2745.0)	(41.0, 2629.5)	(42.0, 2868.5)	(43.0, 3044.0)	(44.0, 3665.5)	(45.0, 4112.5)	(46.0, 4649.0)	(47.0, 5195.0)	(48.0, 5330.5)	(49.0, 5342.5)	(50.0, 5528.0)	(51.0, 6293.0)	(52.0, 7342.0)	(53.0, 7354.5)	(54.0, 6449.5)	(55.0, 6019.5)	(56.0, 5454.0)	(57.0, 4898.0)	(58.0, 4734.0)	(59.0, 4213.5)	(60.0, 3678.0)	(61.0, 3359.5)	(62.0, 3195.5)	(63.0, 2893.5)	(64.0, 2453.0)	(65.0, 2091.5)	(66.0, 1758.5)	(67.0, 1460.0)	(68.0, 1188.0)	(69.0, 910.5)	(70.0, 692.0)	(71.0, 546.0)	(72.0, 425.0)	(73.0, 299.0)	(74.0, 229.5)	(75.0, 173.5)	(76.0, 119.5)	(77.0, 94.5)	(78.0, 73.0)	(79.0, 50.0)	(80.0, 26.5)	(81.0, 15.0)	(82.0, 10.0)	(83.0, 4.5)	(84.0, 4.0)	(85.0, 3.0)	(86.0, 1.5)	(87.0, 2.0)	(88.0, 1.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep2_ERCC_read2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 6.0)	(16.0, 5.5)	(17.0, 4.0)	(18.0, 7.5)	(19.0, 7.5)	(20.0, 10.0)	(21.0, 12.0)	(22.0, 18.5)	(23.0, 31.5)	(24.0, 40.0)	(25.0, 52.0)	(26.0, 83.0)	(27.0, 117.0)	(28.0, 181.0)	(29.0, 268.0)	(30.0, 434.5)	(31.0, 864.5)	(32.0, 1174.5)	(33.0, 1175.0)	(34.0, 1443.5)	(35.0, 2000.0)	(36.0, 2416.0)	(37.0, 2811.5)	(38.0, 3453.0)	(39.0, 3414.5)	(40.0, 3523.0)	(41.0, 3223.5)	(42.0, 2446.0)	(43.0, 2673.0)	(44.0, 3303.0)	(45.0, 3739.0)	(46.0, 4177.5)	(47.0, 4783.0)	(48.0, 5043.5)	(49.0, 5179.0)	(50.0, 5198.5)	(51.0, 5494.0)	(52.0, 6450.0)	(53.0, 7034.5)	(54.0, 7016.5)	(55.0, 6491.5)	(56.0, 5864.5)	(57.0, 5511.5)	(58.0, 5360.5)	(59.0, 4932.0)	(60.0, 4020.5)	(61.0, 3365.0)	(62.0, 3033.0)	(63.0, 2960.5)	(64.0, 2579.0)	(65.0, 2173.5)	(66.0, 1885.0)	(67.0, 1544.5)	(68.0, 1259.5)	(69.0, 1016.0)	(70.0, 813.0)	(71.0, 646.0)	(72.0, 520.5)	(73.0, 410.5)	(74.0, 306.5)	(75.0, 226.0)	(76.0, 176.0)	(77.0, 132.0)	(78.0, 100.0)	(79.0, 76.0)	(80.0, 43.5)	(81.0, 23.5)	(82.0, 15.5)	(83.0, 9.5)	(84.0, 7.5)	(85.0, 4.0)	(86.0, 1.5)	(87.0, 0.5)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep2_ERCC_read2_val_2	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 1.0)	(12.0, 1.0)	(13.0, 0.0)	(14.0, 1.0)	(15.0, 6.5)	(16.0, 6.0)	(17.0, 4.5)	(18.0, 9.5)	(19.0, 10.0)	(20.0, 11.5)	(21.0, 12.5)	(22.0, 20.0)	(23.0, 36.5)	(24.0, 49.5)	(25.0, 57.0)	(26.0, 89.5)	(27.0, 131.0)	(28.0, 202.0)	(29.0, 330.5)	(30.0, 693.0)	(31.0, 942.0)	(32.0, 1096.5)	(33.0, 1278.5)	(34.0, 1580.5)	(35.0, 2123.5)	(36.0, 2646.0)	(37.0, 3099.5)	(38.0, 3358.0)	(39.0, 3570.0)	(40.0, 3497.5)	(41.0, 2915.0)	(42.0, 2623.5)	(43.0, 2912.5)	(44.0, 3448.0)	(45.0, 3978.0)	(46.0, 4467.5)	(47.0, 4911.5)	(48.0, 5166.0)	(49.0, 5385.0)	(50.0, 5338.5)	(51.0, 5697.5)	(52.0, 6718.0)	(53.0, 7174.0)	(54.0, 6880.0)	(55.0, 6375.0)	(56.0, 5949.5)	(57.0, 5638.0)	(58.0, 5340.5)	(59.0, 4715.0)	(60.0, 3902.5)	(61.0, 3431.5)	(62.0, 3116.0)	(63.0, 2858.0)	(64.0, 2499.0)	(65.0, 2135.0)	(66.0, 1821.5)	(67.0, 1463.5)	(68.0, 1223.5)	(69.0, 1004.0)	(70.0, 805.5)	(71.0, 647.5)	(72.0, 505.0)	(73.0, 403.5)	(74.0, 302.0)	(75.0, 217.5)	(76.0, 174.0)	(77.0, 132.0)	(78.0, 104.0)	(79.0, 77.0)	(80.0, 47.0)	(81.0, 37.5)	(82.0, 31.0)	(83.0, 17.0)	(84.0, 9.5)	(85.0, 7.0)	(86.0, 3.5)	(87.0, 3.0)	(88.0, 3.0)	(89.0, 3.0)	(90.0, 2.5)	(91.0, 2.0)	(92.0, 2.0)	(93.0, 1.5)	(94.0, 1.0)	(95.0, 1.0)	(96.0, 1.0)	(97.0, 1.0)	(98.0, 0.5)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep3_ERCC_read1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 2.5)	(17.0, 3.5)	(18.0, 2.0)	(19.0, 3.0)	(20.0, 8.5)	(21.0, 21.0)	(22.0, 24.0)	(23.0, 24.5)	(24.0, 47.5)	(25.0, 69.5)	(26.0, 86.5)	(27.0, 120.0)	(28.0, 183.0)	(29.0, 402.0)	(30.0, 654.0)	(31.0, 817.0)	(32.0, 928.5)	(33.0, 1075.5)	(34.0, 1389.0)	(35.0, 1762.0)	(36.0, 2370.0)	(37.0, 3058.0)	(38.0, 3601.0)	(39.0, 3419.5)	(40.0, 2795.5)	(41.0, 2616.5)	(42.0, 2538.0)	(43.0, 2603.0)	(44.0, 3065.5)	(45.0, 3502.0)	(46.0, 4041.0)	(47.0, 4423.5)	(48.0, 4513.5)	(49.0, 4632.0)	(50.0, 4630.0)	(51.0, 5165.0)	(52.0, 6445.5)	(53.0, 6791.0)	(54.0, 5892.0)	(55.0, 5404.0)	(56.0, 4939.5)	(57.0, 4415.5)	(58.0, 4111.5)	(59.0, 3829.0)	(60.0, 3445.0)	(61.0, 2976.0)	(62.0, 2701.5)	(63.0, 2595.0)	(64.0, 2346.0)	(65.0, 1891.0)	(66.0, 1592.5)	(67.0, 1339.5)	(68.0, 1062.0)	(69.0, 832.0)	(70.0, 680.0)	(71.0, 522.0)	(72.0, 382.0)	(73.0, 293.0)	(74.0, 222.5)	(75.0, 166.0)	(76.0, 106.5)	(77.0, 64.0)	(78.0, 50.5)	(79.0, 42.0)	(80.0, 27.0)	(81.0, 11.0)	(82.0, 6.0)	(83.0, 3.0)	(84.0, 2.0)	(85.0, 1.5)	(86.0, 1.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
HBR_Rep3_ERCC_read1_val_1	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.5)	(10.0, 2.0)	(11.0, 2.5)	(12.0, 2.5)	(13.0, 2.0)	(14.0, 2.0)	(15.0, 2.0)	(16.0, 4.0)	(17.0, 5.5)	(18.0, 5.5)	(19.0, 7.0)	(20.0, 12.0)	(21.0, 21.5)	(22.0, 27.0)	(23.0, 29.0)	(24.0, 52.0)	(25.0, 77.0)	(26.0, 100.0)	(27.0, 145.5)	(28.0, 223.5)	(29.0, 446.5)	(30.0, 712.5)	(31.0, 911.0)	(32.0, 946.5)	(33.0, 1126.5)	(34.0, 1472.0)	(35.0, 1831.0)	(36.0, 2619.5)	(37.0, 3473.5)	(38.0, 3779.5)	(39.0, 3321.5)	(40.0, 2498.0)	(41.0, 2457.0)	(42.0, 2704.0)	(43.0, 2816.0)	(44.0, 3291.0)	(45.0, 3691.5)	(46.0, 4249.0)	(47.0, 4588.0)	(48.0, 4553.5)	(49.0, 4707.5)	(50.0, 4921.0)	(51.0, 5582.0)	(52.0, 6585.0)	(53.0, 6557.5)	(54.0, 5618.0)	(55.0, 5203.5)	(56.0, 4838.5)	(57.0, 4375.5)	(58.0, 4157.5)	(59.0, 3755.0)	(60.0, 3283.0)	(61.0, 2950.0)	(62.0, 2785.0)	(63.0, 2554.0)	(64.0, 2170.0)	(65.0, 1821.0)	(66.0, 1552.0)	(67.0, 1250.5)	(68.0, 992.5)	(69.0, 797.0)	(70.0, 626.5)	(71.0, 491.0)	(72.0, 370.0)	(73.0, 269.0)	(74.0, 204.5)	(75.0, 145.5)	(76.0, 92.0)	(77.0, 68.5)	(78.0, 54.0)	(79.0, 42.5)	(80.0, 25.0)	(81.0, 9.0)	(82.0, 5.5)	(83.0, 3.0)	(84.0, 2.0)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
