Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38
HBR_Rep1_ERCC_read1	(8.0, 3.0)	(9.0, 3.0)	(10.0, 6.0)	(11.0, 10.0)	(12.0, 18.0)	(13.0, 16.0)	(14.0, 25.0)	(15.0, 26.0)	(16.0, 46.0)	(17.0, 41.0)	(18.0, 59.0)	(19.0, 58.0)	(20.0, 75.0)	(21.0, 102.0)	(22.0, 111.0)	(23.0, 159.0)	(24.0, 214.0)	(25.0, 271.0)	(26.0, 370.0)	(27.0, 551.0)	(28.0, 744.0)	(29.0, 1034.0)	(30.0, 1355.0)	(31.0, 1904.0)	(32.0, 2549.0)	(33.0, 3461.0)	(34.0, 5229.0)	(35.0, 9076.0)	(36.0, 19767.0)	(37.0, 33257.0)	(38.0, 28758.0)	(39.0, 9264.0)	(40.0, 9.0)						
HBR_Rep1_ERCC_read1_val_1	(22.0, 1.0)	(23.0, 17.0)	(24.0, 42.0)	(25.0, 116.0)	(26.0, 244.0)	(27.0, 452.0)	(28.0, 689.0)	(29.0, 1065.0)	(30.0, 1434.0)	(31.0, 1947.0)	(32.0, 2591.0)	(33.0, 3590.0)	(34.0, 5414.0)	(35.0, 9179.0)	(36.0, 19763.0)	(37.0, 33266.0)	(38.0, 28886.0)	(39.0, 9734.0)	(40.0, 18.0)																				
HBR_Rep1_ERCC_read2	(2.0, 30.0)	(3.0, 12.0)	(4.0, 18.0)	(5.0, 16.0)	(6.0, 19.0)	(7.0, 20.0)	(8.0, 21.0)	(9.0, 50.0)	(10.0, 47.0)	(11.0, 65.0)	(12.0, 62.0)	(13.0, 68.0)	(14.0, 65.0)	(15.0, 70.0)	(16.0, 94.0)	(17.0, 111.0)	(18.0, 114.0)	(19.0, 140.0)	(20.0, 153.0)	(21.0, 165.0)	(22.0, 217.0)	(23.0, 254.0)	(24.0, 324.0)	(25.0, 447.0)	(26.0, 582.0)	(27.0, 718.0)	(28.0, 929.0)	(29.0, 1200.0)	(30.0, 1570.0)	(31.0, 2090.0)	(32.0, 2688.0)	(33.0, 3852.0)	(34.0, 5483.0)	(35.0, 9336.0)	(36.0, 20934.0)	(37.0, 34236.0)	(38.0, 23518.0)	(39.0, 8849.0)	(40.0, 4.0)
HBR_Rep1_ERCC_read2_val_2	(20.0, 4.0)	(21.0, 18.0)	(22.0, 50.0)	(23.0, 108.0)	(24.0, 191.0)	(25.0, 340.0)	(26.0, 537.0)	(27.0, 809.0)	(28.0, 949.0)	(29.0, 1286.0)	(30.0, 1674.0)	(31.0, 2252.0)	(32.0, 2784.0)	(33.0, 4011.0)	(34.0, 5637.0)	(35.0, 9442.0)	(36.0, 20926.0)	(37.0, 34386.0)	(38.0, 23797.0)	(39.0, 9239.0)	(40.0, 8.0)																		
HBR_Rep2_ERCC_read1	(5.0, 1.0)	(6.0, 1.0)	(7.0, 1.0)	(8.0, 5.0)	(9.0, 12.0)	(10.0, 10.0)	(11.0, 17.0)	(12.0, 20.0)	(13.0, 24.0)	(14.0, 36.0)	(15.0, 34.0)	(16.0, 49.0)	(17.0, 63.0)	(18.0, 84.0)	(19.0, 93.0)	(20.0, 106.0)	(21.0, 133.0)	(22.0, 161.0)	(23.0, 188.0)	(24.0, 260.0)	(25.0, 331.0)	(26.0, 508.0)	(27.0, 671.0)	(28.0, 965.0)	(29.0, 1328.0)	(30.0, 1694.0)	(31.0, 2303.0)	(32.0, 3025.0)	(33.0, 4358.0)	(34.0, 6687.0)	(35.0, 11514.0)	(36.0, 24457.0)	(37.0, 41120.0)	(38.0, 34249.0)	(39.0, 10310.0)	(40.0, 8.0)			
HBR_Rep2_ERCC_read1_val_1	(21.0, 1.0)	(22.0, 3.0)	(23.0, 26.0)	(24.0, 50.0)	(25.0, 144.0)	(26.0, 348.0)	(27.0, 572.0)	(28.0, 899.0)	(29.0, 1355.0)	(30.0, 1810.0)	(31.0, 2408.0)	(32.0, 3164.0)	(33.0, 4444.0)	(34.0, 6832.0)	(35.0, 11666.0)	(36.0, 24445.0)	(37.0, 41109.0)	(38.0, 34571.0)	(39.0, 10790.0)	(40.0, 23.0)																			
HBR_Rep2_ERCC_read2	(2.0, 40.0)	(3.0, 18.0)	(4.0, 26.0)	(5.0, 24.0)	(6.0, 23.0)	(7.0, 29.0)	(8.0, 45.0)	(9.0, 54.0)	(10.0, 59.0)	(11.0, 72.0)	(12.0, 80.0)	(13.0, 91.0)	(14.0, 93.0)	(15.0, 115.0)	(16.0, 103.0)	(17.0, 131.0)	(18.0, 154.0)	(19.0, 201.0)	(20.0, 191.0)	(21.0, 247.0)	(22.0, 277.0)	(23.0, 325.0)	(24.0, 429.0)	(25.0, 530.0)	(26.0, 678.0)	(27.0, 907.0)	(28.0, 1161.0)	(29.0, 1541.0)	(30.0, 1977.0)	(31.0, 2667.0)	(32.0, 3401.0)	(33.0, 4734.0)	(34.0, 6941.0)	(35.0, 11824.0)	(36.0, 25935.0)	(37.0, 41780.0)	(38.0, 28169.0)	(39.0, 9750.0)	(40.0, 4.0)
HBR_Rep2_ERCC_read2_val_2	(19.0, 2.0)	(20.0, 6.0)	(21.0, 22.0)	(22.0, 71.0)	(23.0, 159.0)	(24.0, 275.0)	(25.0, 476.0)	(26.0, 685.0)	(27.0, 925.0)	(28.0, 1219.0)	(29.0, 1629.0)	(30.0, 2063.0)	(31.0, 2866.0)	(32.0, 3565.0)	(33.0, 5011.0)	(34.0, 7122.0)	(35.0, 11999.0)	(36.0, 25912.0)	(37.0, 41979.0)	(38.0, 28425.0)	(39.0, 10245.0)	(40.0, 4.0)																	
HBR_Rep3_ERCC_read1	(7.0, 3.0)	(8.0, 5.0)	(9.0, 8.0)	(10.0, 6.0)	(11.0, 12.0)	(12.0, 16.0)	(13.0, 28.0)	(14.0, 30.0)	(15.0, 37.0)	(16.0, 49.0)	(17.0, 47.0)	(18.0, 80.0)	(19.0, 110.0)	(20.0, 86.0)	(21.0, 101.0)	(22.0, 154.0)	(23.0, 180.0)	(24.0, 223.0)	(25.0, 355.0)	(26.0, 476.0)	(27.0, 609.0)	(28.0, 752.0)	(29.0, 1184.0)	(30.0, 1507.0)	(31.0, 2001.0)	(32.0, 2690.0)	(33.0, 3783.0)	(34.0, 5767.0)	(35.0, 10135.0)	(36.0, 21504.0)	(37.0, 36602.0)	(38.0, 31321.0)	(39.0, 9922.0)	(40.0, 3.0)					
HBR_Rep3_ERCC_read1_val_1	(22.0, 5.0)	(23.0, 16.0)	(24.0, 46.0)	(25.0, 150.0)	(26.0, 323.0)	(27.0, 524.0)	(28.0, 819.0)	(29.0, 1175.0)	(30.0, 1616.0)	(31.0, 2041.0)	(32.0, 2804.0)	(33.0, 3907.0)	(34.0, 5936.0)	(35.0, 10211.0)	(36.0, 21496.0)	(37.0, 36555.0)	(38.0, 31582.0)	(39.0, 10407.0)	(40.0, 17.0)																				
HBR_Rep3_ERCC_read2	(2.0, 53.0)	(3.0, 21.0)	(4.0, 21.0)	(5.0, 24.0)	(6.0, 20.0)	(7.0, 27.0)	(8.0, 32.0)	(9.0, 57.0)	(10.0, 31.0)	(11.0, 64.0)	(12.0, 96.0)	(13.0, 77.0)	(14.0, 100.0)	(15.0, 96.0)	(16.0, 110.0)	(17.0, 114.0)	(18.0, 155.0)	(19.0, 167.0)	(20.0, 176.0)	(21.0, 226.0)	(22.0, 227.0)	(23.0, 308.0)	(24.0, 395.0)	(25.0, 506.0)	(26.0, 722.0)	(27.0, 787.0)	(28.0, 1019.0)	(29.0, 1419.0)	(30.0, 1736.0)	(31.0, 2346.0)	(32.0, 2881.0)	(33.0, 4125.0)	(34.0, 6139.0)	(35.0, 10159.0)	(36.0, 22680.0)	(37.0, 37556.0)	(38.0, 25734.0)	(39.0, 9375.0)	(40.0, 5.0)
HBR_Rep3_ERCC_read2_val_2	(20.0, 1.0)	(21.0, 27.0)	(22.0, 71.0)	(23.0, 128.0)	(24.0, 249.0)	(25.0, 420.0)	(26.0, 638.0)	(27.0, 882.0)	(28.0, 1105.0)	(29.0, 1491.0)	(30.0, 1883.0)	(31.0, 2456.0)	(32.0, 3110.0)	(33.0, 4314.0)	(34.0, 6317.0)	(35.0, 10294.0)	(36.0, 22675.0)	(37.0, 37737.0)	(38.0, 25998.0)	(39.0, 9823.0)	(40.0, 11.0)																		
UHR_Rep1_ERCC_read1	(7.0, 1.0)	(8.0, 8.0)	(9.0, 16.0)	(10.0, 31.0)	(11.0, 29.0)	(12.0, 59.0)	(13.0, 64.0)	(14.0, 73.0)	(15.0, 94.0)	(16.0, 121.0)	(17.0, 149.0)	(18.0, 183.0)	(19.0, 217.0)	(20.0, 232.0)	(21.0, 285.0)	(22.0, 367.0)	(23.0, 542.0)	(24.0, 689.0)	(25.0, 972.0)	(26.0, 1380.0)	(27.0, 1866.0)	(28.0, 2580.0)	(29.0, 3559.0)	(30.0, 4620.0)	(31.0, 6152.0)	(32.0, 8015.0)	(33.0, 10609.0)	(34.0, 14695.0)	(35.0, 21795.0)	(36.0, 37451.0)	(37.0, 55576.0)	(38.0, 43732.0)	(39.0, 11217.0)	(40.0, 13.0)					
UHR_Rep1_ERCC_read1_val_1	(22.0, 11.0)	(23.0, 66.0)	(24.0, 186.0)	(25.0, 473.0)	(26.0, 1054.0)	(27.0, 1705.0)	(28.0, 2735.0)	(29.0, 3785.0)	(30.0, 4962.0)	(31.0, 6542.0)	(32.0, 8392.0)	(33.0, 10944.0)	(34.0, 14999.0)	(35.0, 21914.0)	(36.0, 37452.0)	(37.0, 55524.0)	(38.0, 44299.0)	(39.0, 11906.0)	(40.0, 21.0)																				
UHR_Rep1_ERCC_read2	(2.0, 197.0)	(3.0, 61.0)	(4.0, 56.0)	(5.0, 75.0)	(6.0, 74.0)	(7.0, 95.0)	(8.0, 95.0)	(9.0, 139.0)	(10.0, 207.0)	(11.0, 236.0)	(12.0, 272.0)	(13.0, 310.0)	(14.0, 330.0)	(15.0, 349.0)	(16.0, 394.0)	(17.0, 471.0)	(18.0, 443.0)	(19.0, 566.0)	(20.0, 598.0)	(21.0, 721.0)	(22.0, 895.0)	(23.0, 1049.0)	(24.0, 1339.0)	(25.0, 1781.0)	(26.0, 2136.0)	(27.0, 2686.0)	(28.0, 3478.0)	(29.0, 4386.0)	(30.0, 5622.0)	(31.0, 7113.0)	(32.0, 8902.0)	(33.0, 11695.0)	(34.0, 15569.0)	(35.0, 22947.0)	(36.0, 38929.0)	(37.0, 51876.0)	(38.0, 32099.0)	(39.0, 9200.0)	(40.0, 1.0)
UHR_Rep1_ERCC_read2_val_2	(19.0, 2.0)	(20.0, 32.0)	(21.0, 94.0)	(22.0, 264.0)	(23.0, 524.0)	(24.0, 919.0)	(25.0, 1612.0)	(26.0, 2189.0)	(27.0, 3016.0)	(28.0, 4031.0)	(29.0, 5020.0)	(30.0, 6229.0)	(31.0, 7743.0)	(32.0, 9500.0)	(33.0, 12464.0)	(34.0, 16076.0)	(35.0, 23397.0)	(36.0, 39166.0)	(37.0, 52419.0)	(38.0, 32624.0)	(39.0, 9648.0)	(40.0, 1.0)																	
UHR_Rep2_ERCC_read1	(4.0, 1.0)	(5.0, 1.0)	(6.0, 1.0)	(7.0, 2.0)	(8.0, 9.0)	(9.0, 10.0)	(10.0, 23.0)	(11.0, 25.0)	(12.0, 43.0)	(13.0, 57.0)	(14.0, 60.0)	(15.0, 86.0)	(16.0, 104.0)	(17.0, 134.0)	(18.0, 140.0)	(19.0, 169.0)	(20.0, 239.0)	(21.0, 259.0)	(22.0, 314.0)	(23.0, 402.0)	(24.0, 516.0)	(25.0, 737.0)	(26.0, 1095.0)	(27.0, 1547.0)	(28.0, 2073.0)	(29.0, 2653.0)	(30.0, 3550.0)	(31.0, 4495.0)	(32.0, 5687.0)	(33.0, 7643.0)	(34.0, 10260.0)	(35.0, 14884.0)	(36.0, 25593.0)	(37.0, 38872.0)	(38.0, 31970.0)	(39.0, 8705.0)	(40.0, 14.0)		
UHR_Rep2_ERCC_read1_val_1	(21.0, 1.0)	(22.0, 12.0)	(23.0, 49.0)	(24.0, 181.0)	(25.0, 424.0)	(26.0, 809.0)	(27.0, 1445.0)	(28.0, 2308.0)	(29.0, 2933.0)	(30.0, 3809.0)	(31.0, 4861.0)	(32.0, 5990.0)	(33.0, 7848.0)	(34.0, 10444.0)	(35.0, 15036.0)	(36.0, 25589.0)	(37.0, 38808.0)	(38.0, 32299.0)	(39.0, 9139.0)	(40.0, 21.0)																			
