Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
HBR_Rep1_ERCC_read1	(1.0, 50.38247126194432)	(2.0, 7.4115930539507975)	(3.0, 2.9400106265444332)	(4.0, 1.9127779979927637)	(5.0, 1.4969933626266119)	(6.0, 1.0626544433293132)	(7.0, 1.115787165495779)	(8.0, 0.8501235546634506)	(9.0, 0.8197619991397559)	('>10', 16.65668671091582)	('>50', 6.54122846227155)	('>100', 8.809911361125401)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep1_ERCC_read1_val_1	(1.0, 50.4103066324463)	(2.0, 7.402404430636228)	(3.0, 2.9405308658651896)	(4.0, 1.9181412940699718)	(5.0, 1.4858841010401187)	(6.0, 1.0637579359719034)	(7.0, 1.1110360664595433)	(8.0, 0.8577603674186141)	(9.0, 0.820613264892611)	('>10', 16.63936917465892)	('>50', 6.539578549236796)	('>100', 8.810617317303796)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep1_ERCC_read2	(1.0, 49.70945678116909)	(2.0, 6.917374400148435)	(3.0, 2.608563645410767)	(4.0, 1.666512047633907)	(5.0, 1.4042219429708782)	(6.0, 1.3460289615504633)	(7.0, 1.086268986514409)	(8.0, 0.9715697767582292)	(9.0, 0.9563889989963819)	('>10', 20.23682013308482)	('>50', 6.911470764352161)	('>100', 5.736647240893642)	('>500', 0.44867632051682116)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep1_ERCC_read2_val_2	(1.0, 49.79906794542753)	(2.0, 6.905984060516007)	(3.0, 2.6011414291503443)	(4.0, 1.6614885857084964)	(5.0, 1.3972376063757936)	(6.0, 1.3524922328785627)	(7.0, 1.0755774685938133)	(8.0, 0.9793327029582601)	(9.0, 0.9573821423747129)	('>10', 20.321153586383897)	('>50', 6.7759692016749975)	('>100', 5.724030798325003)	('>500', 0.4491422396325813)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC_read1	(1.0, 48.506483642439896)	(2.0, 7.8535622056813)	(3.0, 3.0947481805753108)	(4.0, 1.8587822628533552)	(5.0, 1.4120392747158659)	(6.0, 1.0564401419634595)	(7.0, 0.9666772540842115)	(8.0, 0.9335340339441812)	(9.0, 0.7208650380456548)	('>10', 15.94188888735448)	('>50', 6.9096709154433595)	('>100', 10.355184842500655)	('>500', 0.390123320398271)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC_read1_val_1	(1.0, 48.57597124291442)	(2.0, 7.823862850822619)	(3.0, 3.090004147656574)	(4.0, 1.8719756670814325)	(5.0, 1.3963777132586757)	(6.0, 1.0825383658233099)	(7.0, 0.9435918705931148)	(8.0, 0.9346052813493708)	(9.0, 0.7154707590211531)	('>10', 15.954652288123878)	('>50', 6.941103276648694)	('>100', 10.279275542651735)	('>500', 0.39057099405502554)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC_read2	(1.0, 48.05628823553782)	(2.0, 7.042934279756398)	(3.0, 2.777816137986273)	(4.0, 1.7151616422465579)	(5.0, 1.242870755251129)	(6.0, 1.2097275351110988)	(7.0, 1.087511910844738)	(8.0, 0.8727714636874594)	(9.0, 0.8637951748995346)	('>10', 18.846754035877535)	('>50', 8.177399085799511)	('>100', 7.6070595058898265)	('>500', 0.49991023711212074)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep2_ERCC_read2_val_2	(1.0, 48.16742707037191)	(2.0, 7.02198257984239)	(3.0, 2.764413106594774)	(4.0, 1.7226600304161481)	(5.0, 1.2546661136457902)	(6.0, 1.20696806304438)	(7.0, 1.0597262546661137)	(8.0, 0.8682427761648003)	(9.0, 0.8710078805474907)	('>10', 18.838656159270013)	('>50', 8.129406885109914)	('>100', 7.594359187059312)	('>500', 0.5004838932669708)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep3_ERCC_read1	(1.0, 49.82740819502874)	(2.0, 7.28275777048372)	(3.0, 3.0373075678424484)	(4.0, 1.9015918512012082)	(5.0, 1.3021435285778127)	(6.0, 0.956959918635292)	(7.0, 1.1488142018399519)	(8.0, 0.9430909343072443)	(9.0, 0.8876149969950534)	('>10', 15.859954078251892)	('>50', 6.763441357311266)	('>100', 10.088915599525372)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
HBR_Rep3_ERCC_read1_val_1	(1.0, 49.874257502121424)	(2.0, 7.2745506441410175)	(3.0, 3.0340199028002774)	(4.0, 1.894623158219548)	(5.0, 1.3075676926637354)	(6.0, 0.967368664660958)	(7.0, 1.1555966982951478)	(8.0, 0.9257116408238835)	(9.0, 0.9095116871094653)	('>10', 15.850497570006944)	('>50', 6.723752217850806)	('>100', 10.082542621306796)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
