Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41
HBR_Rep1_ERCC_read1	(100, 118571.0)																																									
HBR_Rep1_ERCC_read1_val_1	(20, 2.0)	(22, 5.0)	(24, 2.0)	(26, 4.0)	(28, 2.0)	(30, 4.0)	(32, 3.0)	(34, 6.0)	(36, 9.0)	(38, 8.0)	(40, 12.0)	(42, 9.0)	(44, 9.0)	(46, 12.0)	(48, 17.0)	(50, 22.0)	(52, 24.0)	(54, 23.0)	(56, 26.0)	(58, 32.0)	(60, 32.0)	(62, 48.0)	(64, 39.0)	(66, 66.0)	(68, 65.0)	(70, 60.0)	(72, 81.0)	(74, 85.0)	(76, 60.0)	(78, 78.0)	(80, 92.0)	(82, 134.0)	(84, 188.0)	(86, 204.0)	(88, 261.0)	(90, 334.0)	(92, 493.0)	(94, 882.0)	(96, 3773.0)	(98, 38567.0)	(100, 72675.0)	
HBR_Rep1_ERCC_read2	(100, 118571.0)																																									
HBR_Rep1_ERCC_read2_val_2	(20, 12.0)	(22, 5.0)	(24, 15.0)	(26, 12.0)	(28, 26.0)	(30, 24.0)	(32, 20.0)	(34, 32.0)	(36, 30.0)	(38, 37.0)	(40, 31.0)	(42, 43.0)	(44, 41.0)	(46, 30.0)	(48, 52.0)	(50, 45.0)	(52, 26.0)	(54, 40.0)	(56, 51.0)	(58, 62.0)	(60, 83.0)	(62, 65.0)	(64, 81.0)	(66, 97.0)	(68, 125.0)	(70, 104.0)	(72, 116.0)	(74, 137.0)	(76, 145.0)	(78, 175.0)	(80, 175.0)	(82, 195.0)	(84, 277.0)	(86, 303.0)	(88, 331.0)	(90, 437.0)	(92, 633.0)	(94, 1032.0)	(96, 4733.0)	(98, 37410.0)	(100, 71160.0)	
HBR_Rep2_ERCC_read1	(100, 144826.0)																																									
HBR_Rep2_ERCC_read1_val_1	(20, 3.0)	(22, 8.0)	(24, 6.0)	(26, 4.0)	(28, 9.0)	(30, 7.0)	(32, 9.0)	(34, 12.0)	(36, 12.0)	(38, 7.0)	(40, 9.0)	(42, 8.0)	(44, 22.0)	(46, 26.0)	(48, 21.0)	(50, 22.0)	(52, 36.0)	(54, 28.0)	(56, 48.0)	(58, 45.0)	(60, 47.0)	(62, 51.0)	(64, 61.0)	(66, 63.0)	(68, 78.0)	(70, 78.0)	(72, 99.0)	(74, 103.0)	(76, 92.0)	(78, 105.0)	(80, 158.0)	(82, 154.0)	(84, 198.0)	(86, 231.0)	(88, 321.0)	(90, 421.0)	(92, 619.0)	(94, 1157.0)	(96, 4806.0)	(98, 47203.0)	(100, 88273.0)	
HBR_Rep2_ERCC_read2	(100, 144826.0)																																									
HBR_Rep2_ERCC_read2_val_2	(20, 12.0)	(22, 19.0)	(24, 24.0)	(26, 21.0)	(28, 25.0)	(30, 27.0)	(32, 33.0)	(34, 40.0)	(36, 44.0)	(38, 38.0)	(40, 49.0)	(42, 44.0)	(44, 44.0)	(46, 53.0)	(48, 66.0)	(50, 62.0)	(52, 53.0)	(54, 60.0)	(56, 76.0)	(58, 83.0)	(60, 79.0)	(62, 98.0)	(64, 130.0)	(66, 122.0)	(68, 112.0)	(70, 114.0)	(72, 144.0)	(74, 172.0)	(76, 194.0)	(78, 194.0)	(80, 228.0)	(82, 286.0)	(84, 298.0)	(86, 382.0)	(88, 427.0)	(90, 589.0)	(92, 769.0)	(94, 1239.0)	(96, 5598.0)	(98, 45190.0)	(100, 87422.0)	
HBR_Rep3_ERCC_read1	(100, 129786.0)																																									
HBR_Rep3_ERCC_read1_val_1	(20, 3.0)	(22, 6.0)	(24, 4.0)	(26, 2.0)	(28, 8.0)	(30, 10.0)	(32, 8.0)	(34, 11.0)	(36, 7.0)	(38, 10.0)	(40, 8.0)	(42, 15.0)	(44, 12.0)	(46, 20.0)	(48, 25.0)	(50, 29.0)	(52, 23.0)	(54, 25.0)	(56, 33.0)	(58, 37.0)	(60, 46.0)	(62, 57.0)	(64, 52.0)	(66, 63.0)	(68, 60.0)	(70, 92.0)	(72, 98.0)	(74, 88.0)	(76, 86.0)	(78, 95.0)	(80, 115.0)	(82, 143.0)	(84, 197.0)	(86, 236.0)	(88, 287.0)	(90, 357.0)	(92, 560.0)	(94, 960.0)	(96, 4188.0)	(98, 42196.0)	(100, 79358.0)	
HBR_Rep3_ERCC_read2	(100, 129786.0)																																									
HBR_Rep3_ERCC_read2_val_2	(20, 11.0)	(22, 19.0)	(24, 13.0)	(26, 26.0)	(28, 15.0)	(30, 24.0)	(32, 32.0)	(34, 27.0)	(36, 36.0)	(38, 31.0)	(40, 44.0)	(42, 39.0)	(44, 43.0)	(46, 71.0)	(48, 63.0)	(50, 50.0)	(52, 42.0)	(54, 50.0)	(56, 56.0)	(58, 94.0)	(60, 91.0)	(62, 72.0)	(64, 105.0)	(66, 113.0)	(68, 116.0)	(70, 131.0)	(72, 146.0)	(74, 140.0)	(76, 176.0)	(78, 203.0)	(80, 239.0)	(82, 272.0)	(84, 290.0)	(86, 322.0)	(88, 405.0)	(90, 530.0)	(92, 661.0)	(94, 1160.0)	(96, 5071.0)	(98, 40760.0)	(100, 77841.0)	
UHR_Rep1_ERCC_read1	(100, 227392.0)																																									
UHR_Rep1_ERCC_read1_val_1	(20, 1.0)	(22, 5.0)	(24, 8.0)	(26, 8.0)	(28, 11.0)	(30, 13.0)	(32, 16.0)	(34, 20.0)	(36, 33.0)	(38, 21.0)	(40, 32.0)	(42, 30.0)	(44, 37.0)	(46, 52.0)	(48, 53.0)	(50, 54.0)	(52, 53.0)	(54, 69.0)	(56, 80.0)	(58, 105.0)	(60, 92.0)	(62, 116.0)	(64, 112.0)	(66, 155.0)	(68, 157.0)	(70, 216.0)	(72, 209.0)	(74, 226.0)	(76, 137.0)	(78, 231.0)	(80, 297.0)	(82, 333.0)	(84, 462.0)	(86, 545.0)	(88, 693.0)	(90, 774.0)	(92, 1213.0)	(94, 1989.0)	(96, 7536.0)	(98, 73489.0)	(100, 137287.0)	
UHR_Rep1_ERCC_read2	(100, 227392.0)																																									
UHR_Rep1_ERCC_read2_val_2	(18, 31.0)	(20, 41.0)	(22, 54.0)	(24, 46.0)	(26, 46.0)	(28, 62.0)	(30, 66.0)	(32, 79.0)	(34, 131.0)	(36, 113.0)	(38, 115.0)	(40, 154.0)	(42, 170.0)	(44, 164.0)	(46, 191.0)	(48, 223.0)	(50, 144.0)	(52, 137.0)	(54, 195.0)	(56, 201.0)	(58, 264.0)	(60, 256.0)	(62, 304.0)	(64, 332.0)	(66, 347.0)	(68, 348.0)	(70, 408.0)	(72, 492.0)	(74, 490.0)	(76, 578.0)	(78, 596.0)	(80, 644.0)	(82, 731.0)	(84, 845.0)	(86, 1024.0)	(88, 1177.0)	(90, 1465.0)	(92, 1992.0)	(94, 2727.0)	(96, 8157.0)	(98, 69509.0)	(100, 131921.0)
UHR_Rep2_ERCC_read1	(100, 162373.0)																																									
UHR_Rep2_ERCC_read1_val_1	(20, 3.0)	(22, 4.0)	(24, 11.0)	(26, 9.0)	(28, 6.0)	(30, 11.0)	(32, 13.0)	(34, 14.0)	(36, 21.0)	(38, 23.0)	(40, 30.0)	(42, 21.0)	(44, 26.0)	(46, 39.0)	(48, 38.0)	(50, 50.0)	(52, 49.0)	(54, 67.0)	(56, 51.0)	(58, 86.0)	(60, 75.0)	(62, 98.0)	(64, 97.0)	(66, 117.0)	(68, 126.0)	(70, 170.0)	(72, 200.0)	(74, 177.0)	(76, 126.0)	(78, 157.0)	(80, 196.0)	(82, 259.0)	(84, 327.0)	(86, 407.0)	(88, 512.0)	(90, 609.0)	(92, 844.0)	(94, 1677.0)	(96, 5594.0)	(98, 51345.0)	(100, 98321.0)	
UHR_Rep2_ERCC_read2	(100, 162373.0)																																									
UHR_Rep2_ERCC_read2_val_2	(20, 35.0)	(22, 39.0)	(24, 37.0)	(26, 45.0)	(28, 53.0)	(30, 48.0)	(32, 63.0)	(34, 67.0)	(36, 73.0)	(38, 92.0)	(40, 106.0)	(42, 109.0)	(44, 113.0)	(46, 134.0)	(48, 159.0)	(50, 133.0)	(52, 90.0)	(54, 143.0)	(56, 168.0)	(58, 175.0)	(60, 180.0)	(62, 224.0)	(64, 230.0)	(66, 253.0)	(68, 307.0)	(70, 291.0)	(72, 310.0)	(74, 316.0)	(76, 384.0)	(78, 415.0)	(80, 470.0)	(82, 486.0)	(84, 592.0)	(86, 733.0)	(88, 833.0)	(90, 996.0)	(92, 1309.0)	(94, 2070.0)	(96, 6651.0)	(98, 48484.0)	(100, 94590.0)	
UHR_Rep3_ERCC_read1	(100, 185442.0)																																									
UHR_Rep3_ERCC_read1_val_1	(18, 1.0)	(20, 4.0)	(22, 3.0)	(24, 3.0)	(26, 6.0)	(28, 12.0)	(30, 11.0)	(32, 12.0)	(34, 21.0)	(36, 16.0)	(38, 32.0)	(40, 26.0)	(42, 22.0)	(44, 27.0)	(46, 41.0)	(48, 40.0)	(50, 58.0)	(52, 58.0)	(54, 59.0)	(56, 70.0)	(58, 82.0)	(60, 94.0)	(62, 102.0)	(64, 98.0)	(66, 134.0)	(68, 124.0)	(70, 187.0)	(72, 180.0)	(74, 205.0)	(76, 123.0)	(78, 190.0)	(80, 206.0)	(82, 254.0)	(84, 350.0)	(86, 448.0)	(88, 536.0)	(90, 679.0)	(92, 953.0)	(94, 1640.0)	(96, 6288.0)	(98, 59790.0)	(100, 111961.0)
