Sample	hisat2-overall_alignment_rate	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences	cutadapt-percent_trimmed
HBR_Rep1_ERCC_read1		42.68581693668773	50.0	100.0	100	9.090909090909092	0.118571	0.9803071577367147
HBR_Rep1_ERCC_read1_val_1	99.95	42.66260299878427	49.0	99.24640348507361	100	9.090909090909092	0.118448	
HBR_Rep1_ERCC_read2		43.55955503453627	50.0	100.0	100	9.090909090909092	0.118571	1.4622631166136746
HBR_Rep1_ERCC_read2_val_2		43.48068350668648	50.0	98.82775563960557	100	9.090909090909092	0.118448	
HBR_Rep2_ERCC_read1		44.349080966124866	50.0	100.0	100	9.090909090909092	0.14482599999999998	1.0181804372143122
HBR_Rep2_ERCC_read1_val_1	99.95	44.29489838241394	50.0	99.20669155260612	100	9.090909090909092	0.14465999999999998	
HBR_Rep2_ERCC_read2		45.194923563448555	50.0	100.0	100	0.0	0.14482599999999998	1.5035214671398782
HBR_Rep2_ERCC_read2_val_2		45.099543757776864	50.0	98.79676482787225	100	9.090909090909092	0.14465999999999998	
HBR_Rep3_ERCC_read1		43.329018538209056	50.0	100.0	100	9.090909090909092	0.12978599999999998	1.0196862527545343
HBR_Rep3_ERCC_read1_val_1	99.95	43.28781917765949	50.0	99.20786083468333	100	9.090909090909092	0.12963	
HBR_Rep3_ERCC_read2		44.05791071456089	50.0	100.0	100	0.0	0.12978599999999998	1.544473209745273
HBR_Rep3_ERCC_read2_val_2		43.97053151276711	50.0	98.76459924400216	100	9.090909090909092	0.12963	
UHR_Rep1_ERCC_read1		44.53446790661649	49.0	100.0	100	9.090909090909092	0.22739199999999998	1.1760220236419927
UHR_Rep1_ERCC_read1_val_1	99.94	44.49853457634232	49.0	99.05662862933427	100	9.090909090909092	0.22696999999999998	
UHR_Rep1_ERCC_read2		45.25801767783306	49.0	100.0	100	0.0	0.22739199999999998	2.3191932873627916
UHR_Rep1_ERCC_read2_val_2		44.72929406424273	49.0	98.0490152883641	100	9.090909090909092	0.22696999999999998	
UHR_Rep2_ERCC_read1		46.779329075646814	48.0	100.0	100	9.090909090909092	0.162373	1.2441169406243648
UHR_Rep2_ERCC_read1_val_1	99.94	46.70938113403207	48.0	98.99504339345457	100	9.090909090909092	0.16200599999999998	
UHR_Rep2_ERCC_read2		47.404433003023904	49.0	100.0	100	9.090909090909092	0.162373	2.3412882683697416
UHR_Rep2_ERCC_read2_val_2		47.2099798772885	48.0	98.05726331123539	100	9.090909090909092	0.16200599999999998	
UHR_Rep3_ERCC_read1		51.462451871744264	49.0	100.0	100	18.181818181818183	0.185442	1.1919899483396426
UHR_Rep3_ERCC_read1_val_1	99.94	51.40483726356497	49.0	99.03900165274972	100	18.181818181818183	0.185146	
UHR_Rep3_ERCC_read2		52.71998792075151	49.0	100.0	100	9.090909090909092	0.185442	2.1890402389965593
UHR_Rep3_ERCC_read2_val_2		52.47102286843896	49.0	98.15684378814557	100	18.181818181818183	0.185146	
