Module	Section	Sample Name	Source
HISAT2	all_sections	HBR_Rep1_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep1_ERCC_read1_val_1.hisat2.log
HISAT2	all_sections	UHR_Rep3_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep3_ERCC_read1_val_1.hisat2.log
HISAT2	all_sections	UHR_Rep2_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep2_ERCC_read1_val_1.hisat2.log
HISAT2	all_sections	HBR_Rep3_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep3_ERCC_read1_val_1.hisat2.log
HISAT2	all_sections	UHR_Rep1_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep1_ERCC_read1_val_1.hisat2.log
HISAT2	all_sections	HBR_Rep2_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep2_ERCC_read1_val_1.hisat2.log
Cutadapt	all_sections	UHR_Rep2_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep2_ERCC_read2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UHR_Rep3_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep3_ERCC_read2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UHR_Rep1_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep1_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UHR_Rep3_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep3_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UHR_Rep1_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep1_ERCC_read2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	UHR_Rep2_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep2_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep3_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep3_ERCC_read2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep1_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep1_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep2_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep2_ERCC_read2.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep2_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep2_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep3_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep3_ERCC_read1.fastq.gz_trimming_report.txt
Cutadapt	all_sections	HBR_Rep1_ERCC_read2	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep1_ERCC_read2.fastq.gz_trimming_report.txt
FastQC	all_sections	UHR_Rep2_ERCC_read1_val_1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/UHR_Rep2_ERCC_read1_val_1_fastqc.zip
FastQC	all_sections	HBR_Rep3_ERCC_read1	/Users/dhusiakalyani/MapMulti/Nextflow_Map_ParallelRun/work/2e/90f68e1aed74e6b85f8dde3b9b8c19/HBR_Rep3_ERCC_read1_fastqc.zip
